symbol,timestamp,close,endTime,startTime,chartPrevClose,interval,range
NZDUSD=X,1679871600,0.621,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679871900,0.621,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679872200,0.621,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679872500,0.621,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679872800,0.6209,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679873100,0.6208,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679873400,0.6212,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679873700,0.6212,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679874000,0.6212,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679874300,0.621,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679874600,0.6207,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679874900,0.6212,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679875200,0.6208,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679875500,0.6207,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679875800,0.6205,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679876100,0.6205,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679876400,0.62,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679876700,0.6202,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679877000,0.6201,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679877300,0.6204,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679877600,0.6206,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679877900,0.6206,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679878200,0.6205,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679878500,0.6204,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679878800,0.6204,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679879100,0.6201,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679879400,0.6204,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679879700,0.6205,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679880000,0.6203,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679880300,0.6203,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679880600,0.6201,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679880900,0.6197,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679881200,0.62,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679881500,0.6199,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679881800,0.6203,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679882100,0.6203,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679882400,0.6204,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679882700,0.6204,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679883000,0.6205,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679883300,0.6204,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679883600,0.6206,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679883900,0.6204,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679884200,0.6203,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679884500,0.6203,1679957940,1679871600,0.6247,5m,1mo
NZDUSD=X,1679884800,0.6203,1679957940,1679871600,0.6247,5m,1mo
