symbol,timestamp,close,endTime,startTime,chartPrevClose,interval,range
NZDUSD=X,1650841200,0.6503,,,0.6619,1wk,1y
NZDUSD=X,1651446000,0.6424,,,0.6619,1wk,1y
NZDUSD=X,1652050800,0.6415,,,0.6619,1wk,1y
NZDUSD=X,1652655600,0.6512,,,0.6619,1wk,1y
NZDUSD=X,1653260400,0.6572,,,0.6619,1wk,1y
NZDUSD=X,1653865200,0.6514,,,0.6619,1wk,1y
NZDUSD=X,1654470000,0.6375,,,0.6619,1wk,1y
NZDUSD=X,1655074800,0.6309,,,0.6619,1wk,1y
NZDUSD=X,1655679600,0.6384,,,0.6619,1wk,1y
NZDUSD=X,1656284400,0.6298,,,0.6619,1wk,1y
NZDUSD=X,1656889200,0.6197,,,0.6619,1wk,1y
NZDUSD=X,1657494000,0.6164,,,0.6619,1wk,1y
NZDUSD=X,1658098800,0.6257,,,0.6619,1wk,1y
NZDUSD=X,1658703600,0.6431,,,0.6619,1wk,1y
NZDUSD=X,1659308400,0.6231,,,0.6619,1wk,1y
NZDUSD=X,1659913200,0.6455,,,0.6619,1wk,1y
NZDUSD=X,1660518000,0.6175,,,0.6619,1wk,1y
NZDUSD=X,1661122800,0.6138,,,0.6619,1wk,1y
NZDUSD=X,1661727600,0.6193,,,0.6619,1wk,1y
NZDUSD=X,1662332400,0.6118,,,0.6619,1wk,1y
NZDUSD=X,1662937200,0.6078,,,0.6619,1wk,1y
NZDUSD=X,1663542000,0.5747,,,0.6619,1wk,1y
NZDUSD=X,1664146800,0.5667,,,0.6619,1wk,1y
NZDUSD=X,1664751600,0.5616,,,0.6619,1wk,1y
NZDUSD=X,1665356400,0.5568,,,0.6619,1wk,1y
NZDUSD=X,1665961200,0.5753,,,0.6619,1wk,1y
NZDUSD=X,1666566000,0.592,,,0.6619,1wk,1y
NZDUSD=X,1667174400,0.5926,,,0.6619,1wk,1y
NZDUSD=X,1667779200,0.6105,,,0.6619,1wk,1y
NZDUSD=X,1668384000,0.6155,,,0.6619,1wk,1y
NZDUSD=X,1668988800,0.625,,,0.6619,1wk,1y
NZDUSD=X,1669593600,0.6417,,,0.6619,1wk,1y
NZDUSD=X,1670198400,0.6412,,,0.6619,1wk,1y
NZDUSD=X,1670803200,0.6372,,,0.6619,1wk,1y
NZDUSD=X,1671408000,0.6299,,,0.6619,1wk,1y
NZDUSD=X,1672012800,0.6352,,,0.6619,1wk,1y
NZDUSD=X,1672617600,0.6355,,,0.6619,1wk,1y
NZDUSD=X,1673222400,0.639,,,0.6619,1wk,1y
NZDUSD=X,1673827200,0.6475,,,0.6619,1wk,1y
NZDUSD=X,1674432000,0.6493,,,0.6619,1wk,1y
NZDUSD=X,1675036800,0.6335,,,0.6619,1wk,1y
NZDUSD=X,1675641600,0.6311,,,0.6619,1wk,1y
NZDUSD=X,1676246400,0.6248,,,0.6619,1wk,1y
NZDUSD=X,1676851200,0.6165,,,0.6619,1wk,1y
NZDUSD=X,1677456000,0.6227,,,0.6619,1wk,1y
NZDUSD=X,1678060800,0.6133,,,0.6619,1wk,1y
NZDUSD=X,1678665600,0.6264,,,0.6619,1wk,1y
NZDUSD=X,1679270400,0.6208,,,0.6619,1wk,1y
NZDUSD=X,1679871600,0.6262,,,0.6619,1wk,1y
NZDUSD=X,1680476400,0.6271,,,0.6619,1wk,1y
NZDUSD=X,1681081200,0.6217,,,0.6619,1wk,1y
NZDUSD=X,1681686000,0.6143,,,0.6619,1wk,1y
NZDUSD=X,1682290800,0.6176,,,0.6619,1wk,1y
NZDUSD=X,1682506122,0.6135,,,0.6619,1wk,1y
GBPJPY=X,1650841200,163.1939,,,162.731,1wk,1y
GBPJPY=X,1651446000,160.9572,,,162.731,1wk,1y
GBPJPY=X,1652050800,158.2252,,,162.731,1wk,1y
GBPJPY=X,1652655600,159.5229,,,162.731,1wk,1y
GBPJPY=X,1653260400,160.7662,,,162.731,1wk,1y
GBPJPY=X,1653865200,164.1371,,,162.731,1wk,1y
GBPJPY=X,1654470000,165.4704,,,162.731,1wk,1y
GBPJPY=X,1655074800,165.6064,,,162.731,1wk,1y
GBPJPY=X,1655679600,165.7555,,,162.731,1wk,1y
GBPJPY=X,1656284400,163.4694,,,162.731,1wk,1y
GBPJPY=X,1656889200,163.8442,,,162.731,1wk,1y
GBPJPY=X,1657494000,164.3295,,,162.731,1wk,1y
GBPJPY=X,1658098800,163.3448,,,162.731,1wk,1y
GBPJPY=X,1658703600,162.5285,,,162.731,1wk,1y
GBPJPY=X,1659308400,163.0401,,,162.731,1wk,1y
GBPJPY=X,1659913200,162.022,,,162.731,1wk,1y
GBPJPY=X,1660518000,161.9949,,,162.731,1wk,1y
GBPJPY=X,1661122800,161.9303,,,162.731,1wk,1y
GBPJPY=X,1661727600,161.4775,,,162.731,1wk,1y
GBPJPY=X,1662332400,165.2774,,,162.731,1wk,1y
GBPJPY=X,1662937200,166.4801,,,162.731,1wk,1y
GBPJPY=X,1663542000,157.0092,,,162.731,1wk,1y
GBPJPY=X,1664146800,162.0659,,,162.731,1wk,1y
GBPJPY=X,1664751600,161.781,,,162.731,1wk,1y
GBPJPY=X,1665356400,167.0908,,,162.731,1wk,1y
GBPJPY=X,1665961200,166.1063,,,162.731,1wk,1y
GBPJPY=X,1666566000,171.2578,,,162.731,1wk,1y
GBPJPY=X,1667174400,165.8443,,,162.731,1wk,1y
GBPJPY=X,1667779200,164.5227,,,162.731,1wk,1y
GBPJPY=X,1668384000,166.8195,,,162.731,1wk,1y
GBPJPY=X,1668988800,167.9551,,,162.731,1wk,1y
GBPJPY=X,1669593600,164.8645,,,162.731,1wk,1y
GBPJPY=X,1670198400,167.3808,,,162.731,1wk,1y
GBPJPY=X,1670803200,165.9057,,,162.731,1wk,1y
GBPJPY=X,1671408000,160.0276,,,162.731,1wk,1y
GBPJPY=X,1672012800,157.9939,,,162.731,1wk,1y
GBPJPY=X,1672617600,159.9725,,,162.731,1wk,1y
GBPJPY=X,1673222400,156.3264,,,162.731,1wk,1y
GBPJPY=X,1673827200,160.3947,,,162.731,1wk,1y
GBPJPY=X,1674432000,160.7883,,,162.731,1wk,1y
GBPJPY=X,1675036800,159.3171,,,162.731,1wk,1y
GBPJPY=X,1675641600,158.5289,,,162.731,1wk,1y
GBPJPY=X,1676246400,161.4835,,,162.731,1wk,1y
GBPJPY=X,1676851200,163.6656,,,162.731,1wk,1y
GBPJPY=X,1677456000,163.2875,,,162.731,1wk,1y
GBPJPY=X,1678060800,162.5703,,,162.731,1wk,1y
GBPJPY=X,1678665600,162.1814,,,162.731,1wk,1y
GBPJPY=X,1679270400,159.797,,,162.731,1wk,1y
GBPJPY=X,1679871600,163.8727,,,162.731,1wk,1y
GBPJPY=X,1680476400,164.115,,,162.731,1wk,1y
GBPJPY=X,1681081200,165.9758,,,162.731,1wk,1y
GBPJPY=X,1681686000,166.8082,,,162.731,1wk,1y
GBPJPY=X,1682290800,167.584,,,162.731,1wk,1y
GBPJPY=X,1682506151,166.645,,,162.731,1wk,1y
EURJPY=X,1650841200,136.9009,,,136.867,1wk,1y
EURJPY=X,1651446000,137.6964,,,136.867,1wk,1y
EURJPY=X,1652050800,134.5239,,,136.867,1wk,1y
EURJPY=X,1652655600,135.0409,,,136.867,1wk,1y
EURJPY=X,1653260400,136.4688,,,136.867,1wk,1y
EURJPY=X,1653865200,140.2798,,,136.867,1wk,1y
EURJPY=X,1654470000,141.3779,,,136.867,1wk,1y
EURJPY=X,1655074800,141.668,,,136.867,1wk,1y
EURJPY=X,1655679600,142.5994,,,136.867,1wk,1y
EURJPY=X,1656284400,141.0095,,,136.867,1wk,1y
EURJPY=X,1656889200,138.6449,,,136.867,1wk,1y
EURJPY=X,1657494000,139.6965,,,136.867,1wk,1y
